Inventory Number	Quantity	Quantity Update Type	Seller Cost	DC Quantity
A+1:15496460000:D	99	Unshipped		Long Beach=99
A+1:15482460000:D	1	Unshipped		Long Beach=1
A+1:15482430000:D	55	Unshipped		Long Beach=55
A+1:15496470000:D	123	Unshipped		Long Beach=123
A+1:15482220000:D	113	Unshipped		Long Beach=113
A+1:15496430000:D	72	Unshipped		Long Beach=72
A+1:15482310000:D	264	Unshipped		Long Beach=264
A+1:15482250000:D	226	Unshipped		Long Beach=226
A+1:15494050000:D	0	Unshipped		Long Beach=0
A+1:15482170000:D	102	Unshipped		Long Beach=102
A+1:15482330000:D	64	Unshipped		Long Beach=64
A+1:15482290000:D	72	Unshipped		Long Beach=72
A+1:15482270000:D	311	Unshipped		Long Beach=311
A+1:15482240000:D	123	Unshipped		Long Beach=123
A+1:15482190000:D	184	Unshipped		Long Beach=184
A+1:15482180000:D	137	Unshipped		Long Beach=137
A+1:15482160000:D	0	Unshipped		Long Beach=0
A+1:15483110000:D	116	Unshipped		Long Beach=116
A+1:15482350000:D	117	Unshipped		Long Beach=117
A+1:15482320000:D	0	Unshipped		Long Beach=0
A+1:15482280000:D	385	Unshipped		Long Beach=385
A+1:15482260000:D	47	Unshipped		Long Beach=47
A+1:15482230000:D	179	Unshipped		Long Beach=179
A+1:15481940000:D	2	Unshipped		Long Beach=2
A+1:15482020000:D	47	Unshipped		Long Beach=47
A+1:15494060000:D	71	Unshipped		Long Beach=71
A+1:15481910000:D	161	Unshipped		Long Beach=161
A+1:15482110000:D	85	Unshipped		Long Beach=85
A+1:15482040000:D	80	Unshipped		Long Beach=80
A+1:15482010000:D	83	Unshipped		Long Beach=83
A+1:15494040000:D	100	Unshipped		Long Beach=100
A+1:15481920000:D	1399	Unshipped		Long Beach=1399
A+1:15481890000:D	1497	Unshipped		Long Beach=1497
A+1:15481870000:D	253	Unshipped		Long Beach=253
A+1:15482130000:D	65	Unshipped		Long Beach=65
A+1:15482090000:D	73	Unshipped		Long Beach=73
A+1:15482050000:D	193	Unshipped		Long Beach=193
A+1:15482030000:D	34	Unshipped		Long Beach=34
A+1:15494070000:D	360	Unshipped		Long Beach=360
A+1:15493940000:D	32	Unshipped		Long Beach=32
A+1:15482080000:D	0	Unshipped		Long Beach=0
A+1:15481740000:D	58	Unshipped		Long Beach=58
A+1:15481720000:D	0	Unshipped		Long Beach=0
A+1:15481650000:D	24	Unshipped		Long Beach=24
A+1:15481810000:D	360	Unshipped		Long Beach=360
A+1:15494080000:D	146	Unshipped		Long Beach=146
A+1:15481730000:D	0	Unshipped		Long Beach=0
A+1:15481710000:D	1423	Unshipped		Long Beach=1423
A+1:15481680000:D	0	Unshipped		Long Beach=0
A+1:15481640000:D	563	Unshipped		Long Beach=563
A+1:15481840000:D	0	Unshipped		Long Beach=0
A+1:15481830000:D	74	Unshipped		Long Beach=74
A+1:15481790000:D	204	Unshipped		Long Beach=204
A+1:15481750000:D	647	Unshipped		Long Beach=647
A+1:15481620000:D	171	Unshipped		Long Beach=171
A+1:15481580000:D	0	Unshipped		Long Beach=0
A+1:15481610000:D	181	Unshipped		Long Beach=181
A+1:03564830000:D	20	Unshipped		Long Beach=20
A+1:03575620000:D	0	Unshipped		Long Beach=0
A+1:03564820000:D	24	Unshipped		Long Beach=24
A+1:03519350000:D	18	Unshipped		Long Beach=18
A+1:03519360000:D	36	Unshipped		Long Beach=36
A+1:03564800000:D	0	Unshipped		Long Beach=0
A+1:03564810000:D	13	Unshipped		Long Beach=13
A+1:03542300000:D	3	Unshipped		Long Beach=3
A+1:03542280000:D	11	Unshipped		Long Beach=11
A+1:03566680000:D	412	Unshipped		Long Beach=412
A+1:03514720000:D	53	Unshipped		Long Beach=53
A+1:03569750000:D	0	Unshipped		Long Beach=0
A+1:03562380000:D	0	Unshipped		Long Beach=0
A+1:03564600000:D	0	Unshipped		Long Beach=0
A+1:03565380000:D	0	Unshipped		Long Beach=0
A+1:03560940000:D	1	Unshipped		Long Beach=1
A+1:03564750000:D	0	Unshipped		Long Beach=0
A+1:03572240000:D	0	Unshipped		Long Beach=0
A+1:03566600000:D	0	Unshipped		Long Beach=0
A+1:03562060000:D	0	Unshipped		Long Beach=0
A+1:03563010000:D	0	Unshipped		Long Beach=0
A+1:03568000000:D	21	Unshipped		Long Beach=21
A+1:03565350000:D	0	Unshipped		Long Beach=0
A+1:03569410000:D	93	Unshipped		Long Beach=93
A+1:03562050000:D	0	Unshipped		Long Beach=0
A+1:03563000000:D	34	Unshipped		Long Beach=34
A+1:03565360000:D	0	Unshipped		Long Beach=0
A+1:03568020000:D	22	Unshipped		Long Beach=22
A+1:03569660000:D	0	Unshipped		Long Beach=0
A+1:03562640000:D	0	Unshipped		Long Beach=0
A+1:03507500000:D	238	Unshipped		Long Beach=238
A+1:03565640000:D	0	Unshipped		Long Beach=0
A+1:03561860000:D	0	Unshipped		Long Beach=0
A+1:03574770000:D	0	Unshipped		Long Beach=0
A+1:03509290000:D	0	Unshipped		Long Beach=0
A+1:03563740000:D	48	Unshipped		Long Beach=48
A+1:03562630000:D	52	Unshipped		Long Beach=52
A+1:03571660000:D	0	Unshipped		Long Beach=0
A+1:03564300000:D	0	Unshipped		Long Beach=0
A+1:03507490000:D	100	Unshipped		Long Beach=100
A+1:03571620000:D	0	Unshipped		Long Beach=0
A+1:03519580000:D	0	Unshipped		Long Beach=0
A+1:03565260000:D	100	Unshipped		Long Beach=100
A+1:03562320000:D	94	Unshipped		Long Beach=94
A+1:03564270000:D	28	Unshipped		Long Beach=28
A+1:03507340000:D	277	Unshipped		Long Beach=277
A+1:03567910000:D	0	Unshipped		Long Beach=0
A+1:03562860000:D	0	Unshipped		Long Beach=0
A+1:03567200000:D	1	Unshipped		Long Beach=1
A+1:03561700000:D	2	Unshipped		Long Beach=2
A+1:03564530000:D	0	Unshipped		Long Beach=0
A+1:03507120000:D	250	Unshipped		Long Beach=250
