Inventory Number	Quantity	Quantity Update Type	Seller Cost	DC Quantity
A+1:03561560000:D	0	Unshipped		Long Beach=0
A+1:03541410000:D	0	Unshipped		Long Beach=0
A+1:03523980000:D	10	Unshipped		Long Beach=10
A+1:03562070000:D	16	Unshipped		Long Beach=16
A+1:03565290000:D	96	Unshipped		Long Beach=96
A+1:03541800000:D	0	Unshipped		Long Beach=0
A+1:03543960000:D	0	Unshipped		Long Beach=0
A+1:03561530000:D	36	Unshipped		Long Beach=36
A+1:03562080000:D	30	Unshipped		Long Beach=30
A+1:03565310000:D	191	Unshipped		Long Beach=191
A+1:03561540000:D	40	Unshipped		Long Beach=40
A+1:03569380000:D	0	Unshipped		Long Beach=0
A+1:03567620000:D	0	Unshipped		Long Beach=0
A+1:03567640000:D	0	Unshipped		Long Beach=0
A+1:03563050000:D	43	Unshipped		Long Beach=43
A+1:03509600000:D	371	Unshipped		Long Beach=371
A+1:03561600000:D	14	Unshipped		Long Beach=14
A+1:03564090000:D	0	Unshipped		Long Beach=0
A+1:03528470000:D	57	Unshipped		Long Beach=57
A+1:03509610000:D	0	Unshipped		Long Beach=0
A+1:03563020000:D	34	Unshipped		Long Beach=34
A+1:03565860000:D	49	Unshipped		Long Beach=49
A+1:03570660000:D	0	Unshipped		Long Beach=0
A+1:03509940000:D	0	Unshipped		Long Beach=0
A+1:03509930000:D	4	Unshipped		Long Beach=4
A+1:15497690000:D	50	Unshipped		Long Beach=50
A+1:03562330000:D	62	Unshipped		Long Beach=62
A+1:03507390000:D	203	Unshipped		Long Beach=203
A+1:03509500000:D	94	Unshipped		Long Beach=94
A+1:03505440000:D	107	Unshipped		Long Beach=107
A+1:03561870000:D	15	Unshipped		Long Beach=15
A+1:03507400000:D	23	Unshipped		Long Beach=23
A+1:03509510000:D	55	Unshipped		Long Beach=55
A+1:03569710000:D	0	Unshipped		Long Beach=0
A+1:03567730000:D	0	Unshipped		Long Beach=0
A+1:03564210000:D	18	Unshipped		Long Beach=18
A+1:03562250000:D	12	Unshipped		Long Beach=12
A+1:03567400000:D	0	Unshipped		Long Beach=0
A+1:03563820000:D	0	Unshipped		Long Beach=0
A+1:03507330000:D	31	Unshipped		Long Beach=31
A+1:03507360000:D	95	Unshipped		Long Beach=95
A+1:03562120000:D	177	Unshipped		Long Beach=177
A+1:03509950000:D	27	Unshipped		Long Beach=27
A+1:03560760000:D	116	Unshipped		Long Beach=116
A+1:03509670000:D	0	Unshipped		Long Beach=0
A+1:03507230000:D	66	Unshipped		Long Beach=66
A+1:03519400000:D	58	Unshipped		Long Beach=58
A+1:03509530000:D	20	Unshipped		Long Beach=20
A+1:03561770000:D	49	Unshipped		Long Beach=49
A+1:03561780000:D	147	Unshipped		Long Beach=147
A+1:03507380000:D	92	Unshipped		Long Beach=92
A+1:03509520000:D	48	Unshipped		Long Beach=48
A+1:03516510000:D	106	Unshipped		Long Beach=106
A+1:03516520000:D	5	Unshipped		Long Beach=5
A+1:03514740000:D	0	Unshipped		Long Beach=0
A+1:03514820000:D	24	Unshipped		Long Beach=24
A+1:03514830000:D	17	Unshipped		Long Beach=17
A+1:03569430000:D	0	Unshipped		Long Beach=0
A+1:03569510000:D	0	Unshipped		Long Beach=0
A+1:03514270000:D	24	Unshipped		Long Beach=24
A+1:03563200000:D	7	Unshipped		Long Beach=7
A+1:15493480000:D	18	Unshipped		Long Beach=18
A+1:15493490000:D	32	Unshipped		Long Beach=32
A+1:15501100000:D	172	Unshipped		Long Beach=172
A+1:15496520000:D	0	Unshipped		Long Beach=0
A+1:15500450000:D	20	Unshipped		Long Beach=20
A+1:15501110000:D	265	Unshipped		Long Beach=265
A+1:15500460000:D	29	Unshipped		Long Beach=29
A+1:15493460000:D	108	Unshipped		Long Beach=108
A+1:15494220000:D	0	Unshipped		Long Beach=0
A+1:15493470000:D	85	Unshipped		Long Beach=85
A+1:15494230000:D	38	Unshipped		Long Beach=38
A+1:15494380000:D	47	Unshipped		Long Beach=47
A+1:15496900000:D	554	Unshipped		Long Beach=554
A+1:15494470000:D	0	Unshipped		Long Beach=0
A+1:15494290000:D	16	Unshipped		Long Beach=16
A+1:15498760000:D	0	Unshipped		Long Beach=0
A+1:15494580000:D	23	Unshipped		Long Beach=23
A+1:15495470000:D	747	Unshipped		Long Beach=747
A+1:15494460000:D	0	Unshipped		Long Beach=0
A+1:15498180000:D	141	Unshipped		Long Beach=141
A+1:15494310000:D	27	Unshipped		Long Beach=27
A+1:15504690000:D	0	Unshipped		Long Beach=0
A+1:15494560000:D	5	Unshipped		Long Beach=5
A+1:15494450000:D	0	Unshipped		Long Beach=0
A+1:15498160000:D	78	Unshipped		Long Beach=78
A+1:15501020000:D	0	Unshipped		Long Beach=0
A+1:15494550000:D	10	Unshipped		Long Beach=10
A+1:15495620000:D	0	Unshipped		Long Beach=0
A+1:15495610000:D	0	Unshipped		Long Beach=0
A+1:15498400000:D	0	Unshipped		Long Beach=0
A+1:15495600000:D	0	Unshipped		Long Beach=0
A+1:15495590000:D	0	Unshipped		Long Beach=0
A+1:03543870000:D	168	Unshipped		Long Beach=168
A+1:03542070000:D	364	Unshipped		Long Beach=364
A+1:03543130000:D	79	Unshipped		Long Beach=79
A+1:03543190000:D	38	Unshipped		Long Beach=38
A+1:03543340000:D	56	Unshipped		Long Beach=56
A+1:03543250000:D	9	Unshipped		Long Beach=9
A+1:03543830000:D	0	Unshipped		Long Beach=0
A+1:03544450000:D	0	Unshipped		Long Beach=0
A+1:03542490000:D	0	Unshipped		Long Beach=0
A+1:03540880000:D	0	Unshipped		Long Beach=0
A+1:03547460000:D	0	Unshipped		Long Beach=0
A+1:03541210000:D	152	Unshipped		Long Beach=152
A+1:03507610000:D	0	Unshipped		Long Beach=0
A+1:03547450000:D	0	Unshipped		Long Beach=0
A+1:03543330000:D	45	Unshipped		Long Beach=45
A+1:03543380000:D	0	Unshipped		Long Beach=0
A+1:03544440000:D	0	Unshipped		Long Beach=0
A+1:04320180000:D	346	Unshipped		Long Beach=346
A+1:15495310000:D	42	Unshipped		Long Beach=42
A+1:04710310000:D	84	Unshipped		Long Beach=84
A+1:03545000000:D	36	Unshipped		Long Beach=36
A+1:03541850000:D	0	Unshipped		Long Beach=0
A+1:03543280000:D	0	Unshipped		Long Beach=0
A+1:04320190000:D	24	Unshipped		Long Beach=24
A+1:03543410000:D	0	Unshipped		Long Beach=0
A+1:03507600000:D	0	Unshipped		Long Beach=0
A+1:03507620000:D	146	Unshipped		Long Beach=146
A+1:15496410000:D	935	Unshipped		Long Beach=935
A+1:03569030000:D	0	Unshipped		Long Beach=0
A+1:03544220000:D	0	Unshipped		Long Beach=0
A+1:04710350000:D	43	Unshipped		Long Beach=43
A+1:03541030000:D	120	Unshipped		Long Beach=120
A+1:03543270000:D	0	Unshipped		Long Beach=0
A+1:04710330000:D	83	Unshipped		Long Beach=83
A+1:03541200000:D	45	Unshipped		Long Beach=45
A+1:03540870000:D	252	Unshipped		Long Beach=252
A+1:03507630000:D	1	Unshipped		Long Beach=1
A+1:03563370000:D	89	Unshipped		Long Beach=89
A+1:03543880000:D	0	Unshipped		Long Beach=0
A+1:04710390000:D	0	Unshipped		Long Beach=0
A+1:03541440000:D	14	Unshipped		Long Beach=14
A+1:03507640000:D	41	Unshipped		Long Beach=41
A+1:15483520000:D	594	Unshipped		Long Beach=594
A+1:03543690000:D	232	Unshipped		Long Beach=232
A+1:03563380000:D	0	Unshipped		Long Beach=0
A+1:03540830000:D	569	Unshipped		Long Beach=569
A+1:03543700000:D	279	Unshipped		Long Beach=279
A+1:15489480000:D	69	Unshipped		Long Beach=69
A+1:15494320000:D	125	Unshipped		Long Beach=125
A+1:15494250000:D	47	Unshipped		Long Beach=47
A+1:03575570000:D	0	Unshipped		Long Beach=0
A+1:15494330000:D	631	Unshipped		Long Beach=631
A+1:15498120000:D	0	Unshipped		Long Beach=0
A+1:15494340000:D	0	Unshipped		Long Beach=0
A+1:15498110000:D	0	Unshipped		Long Beach=0
A+1:15493520000:D	2404	Unshipped		Long Beach=2404
A+1:03561590000:D	0	Unshipped		Long Beach=0
A+1:03501010000:D	0	Unshipped		Long Beach=0
A+1:03501000000:D	0	Unshipped		Long Beach=0
A+1:15495570000:D	0	Unshipped		Long Beach=0
A+1:15483440000:D	0	Unshipped		Long Beach=0
A+1:03508090000:D	0	Unshipped		Long Beach=0
A+1:03507990000:D	216	Unshipped		Long Beach=216
A+1:03502220000:D	0	Unshipped		Long Beach=0
A+1:03501040000:D	351	Unshipped		Long Beach=351
A+1:03507020000:D	120	Unshipped		Long Beach=120
A+1:03507010000:D	163	Unshipped		Long Beach=163
A+1:03502260000:D	55	Unshipped		Long Beach=55
A+1:03512300000:D	870	Unshipped		Long Beach=870
A+1:03546580000:D	75	Unshipped		Long Beach=75
A+1:03544410000:D	0	Unshipped		Long Beach=0
A+1:03546370000:D	113	Unshipped		Long Beach=113
A+1:03544400000:D	0	Unshipped		Long Beach=0
A+1:03546310000:D	0	Unshipped		Long Beach=0
A+1:03540130000:D	0	Unshipped		Long Beach=0
A+1:03541460000:D	6	Unshipped		Long Beach=6
A+1:03544250000:D	0	Unshipped		Long Beach=0
A+1:03544310000:D	0	Unshipped		Long Beach=0
A+1:03545830000:D	0	Unshipped		Long Beach=0
A+1:15447990000:D	50	Unshipped		Long Beach=50
A+1:03545790000:D	187	Unshipped		Long Beach=187
A+1:03541260000:D	8	Unshipped		Long Beach=8
A+1:03507260000:D	30	Unshipped		Long Beach=30
A+1:03541490000:D	137	Unshipped		Long Beach=137
A+1:03545580000:D	13	Unshipped		Long Beach=13
A+1:03545590000:D	103	Unshipped		Long Beach=103
A+1:03507250000:D	39	Unshipped		Long Beach=39
A+1:03545730000:D	168	Unshipped		Long Beach=168
A+1:03545750000:D	60	Unshipped		Long Beach=60
A+1:03546000000:D	0	Unshipped		Long Beach=0
A+1:03540630000:D	231	Unshipped		Long Beach=231
A+1:03546520000:D	1	Unshipped		Long Beach=1
A+1:03546560000:D	19	Unshipped		Long Beach=19
A+1:03540100000:D	201	Unshipped		Long Beach=201
A+1:03545570000:D	0	Unshipped		Long Beach=0
A+1:03545960000:D	0	Unshipped		Long Beach=0
A+1:03546530000:D	53	Unshipped		Long Beach=53
A+1:03546570000:D	24	Unshipped		Long Beach=24
A+1:03540110000:D	38	Unshipped		Long Beach=38
A+1:03507880000:D	13	Unshipped		Long Beach=13
A+1:03545860000:D	0	Unshipped		Long Beach=0
A+1:03544300000:D	0	Unshipped		Long Beach=0
A+1:03546950000:D	64	Unshipped		Long Beach=64
A+1:03546920000:D	2	Unshipped		Long Beach=2
A+1:03564260000:D	0	Unshipped		Long Beach=0
A+1:03541280000:D	55	Unshipped		Long Beach=55
A+1:03540840000:D	28	Unshipped		Long Beach=28
A+1:03541980000:D	16	Unshipped		Long Beach=16
A+1:03545020000:D	24	Unshipped		Long Beach=24
A+1:03544280000:D	0	Unshipped		Long Beach=0
A+1:03545060000:D	3	Unshipped		Long Beach=3
A+1:03542000000:D	0	Unshipped		Long Beach=0
A+1:03540740000:D	98	Unshipped		Long Beach=98
A+1:15449230000:D	0	Unshipped		Long Beach=0
A+1:15484020000:D	0	Unshipped		Long Beach=0
A+1:15494860000:D	289	Unshipped		Long Beach=289
A+1:04320110000:D	109	Unshipped		Long Beach=109
A+1:15481550000:D	1240	Unshipped		Long Beach=1240
A+1:15493230000:D	0	Unshipped		Long Beach=0
A+1:15449090000:D	1	Unshipped		Long Beach=1
A+1:15475610000:D	0	Unshipped		Long Beach=0
A+1:15449060000:D	0	Unshipped		Long Beach=0
A+1:04320100000:D	351	Unshipped		Long Beach=351
A+1:15482570000:D	0	Unshipped		Long Beach=0
A+1:15494600000:D	127	Unshipped		Long Beach=127
A+1:15490860000:D	85	Unshipped		Long Beach=85
A+1:15493040000:D	52	Unshipped		Long Beach=52
A+1:15496060000:D	85	Unshipped		Long Beach=85
A+1:15491050000:D	0	Unshipped		Long Beach=0
A+1:15496050000:D	160	Unshipped		Long Beach=160
A+1:15493960000:D	307	Unshipped		Long Beach=307
A+1:15493970000:D	142	Unshipped		Long Beach=142
A+1:15491060000:D	25	Unshipped		Long Beach=25
A+1:15490920000:D	97	Unshipped		Long Beach=97
A+1:15491000000:D	118	Unshipped		Long Beach=118
A+1:15491100000:D	231	Unshipped		Long Beach=231
A+1:15491090000:D	201	Unshipped		Long Beach=201
A+1:15491110000:D	489	Unshipped		Long Beach=489
A+1:15491020000:D	532	Unshipped		Long Beach=532
A+1:15496040000:D	30	Unshipped		Long Beach=30
A+1:15490990000:D	122	Unshipped		Long Beach=122
A+1:15490980000:D	275	Unshipped		Long Beach=275
A+1:15491070000:D	265	Unshipped		Long Beach=265
A+1:15491080000:D	730	Unshipped		Long Beach=730
A+1:15490840000:D	532	Unshipped		Long Beach=532
A+1:15490890000:D	19	Unshipped		Long Beach=19
A+1:15490900000:D	56	Unshipped		Long Beach=56
A+1:15490700000:D	22	Unshipped		Long Beach=22
A+1:15491010000:D	706	Unshipped		Long Beach=706
A+1:15490910000:D	13	Unshipped		Long Beach=13
A+1:15490710000:D	0	Unshipped		Long Beach=0
A+1:15490800000:D	137	Unshipped		Long Beach=137
A+1:15490830000:D	108	Unshipped		Long Beach=108
A+1:15490820000:D	46	Unshipped		Long Beach=46
A+1:15491040000:D	1473	Unshipped		Long Beach=1473
A+1:15490810000:D	0	Unshipped		Long Beach=0
A+1:15490760000:D	0	Unshipped		Long Beach=0
A+1:15490940000:D	0	Unshipped		Long Beach=0
A+1:15490790000:D	9	Unshipped		Long Beach=9
A+1:15490880000:D	257	Unshipped		Long Beach=257
A+1:15490740000:D	254	Unshipped		Long Beach=254
A+1:15490960000:D	255	Unshipped		Long Beach=255
A+1:15490770000:D	225	Unshipped		Long Beach=225
A+1:15490950000:D	12	Unshipped		Long Beach=12
A+1:15490780000:D	147	Unshipped		Long Beach=147
A+1:15490930000:D	112	Unshipped		Long Beach=112
A+1:03546670000:D	398	Unshipped		Long Beach=398
A+1:03540280000:D	33	Unshipped		Long Beach=33
A+1:15482900000:D	1760	Unshipped		Long Beach=1760
A+1:15483000000:D	249	Unshipped		Long Beach=249
A+1:03540210000:D	0	Unshipped		Long Beach=0
A+1:03546780000:D	187	Unshipped		Long Beach=187
A+1:03507890000:D	19	Unshipped		Long Beach=19
A+1:03540850000:D	105	Unshipped		Long Beach=105
A+1:03546680000:D	234	Unshipped		Long Beach=234
A+1:03545900000:D	917	Unshipped		Long Beach=917
A+1:03546790000:D	613	Unshipped		Long Beach=613
A+1:03546030000:D	70	Unshipped		Long Beach=70
A+1:15482700000:D	54	Unshipped		Long Beach=54
A+1:15482800000:D	374	Unshipped		Long Beach=374
A+1:03545130000:D	41	Unshipped		Long Beach=41
A+1:03545510000:D	170	Unshipped		Long Beach=170
A+1:15480070000:D	22	Unshipped		Long Beach=22
A+1:15480060000:D	7	Unshipped		Long Beach=7
A+1:03545250000:D	33	Unshipped		Long Beach=33
A+1:03545170000:D	0	Unshipped		Long Beach=0
A+1:03546830000:D	14	Unshipped		Long Beach=14
A+1:03545160000:D	1	Unshipped		Long Beach=1
A+1:15480050000:D	57	Unshipped		Long Beach=57
A+1:15480040000:D	143	Unshipped		Long Beach=143
A+1:15449190000:D	201	Unshipped		Long Beach=201
A+1:03546750000:D	66	Unshipped		Long Beach=66
A+1:03540370000:D	765	Unshipped		Long Beach=765
A+1:03545110000:D	0	Unshipped		Long Beach=0
A+1:03545200000:D	64	Unshipped		Long Beach=64
A+1:03546090000:D	87	Unshipped		Long Beach=87
A+1:03540380000:D	1453	Unshipped		Long Beach=1453
A+1:04710130000:D	57	Unshipped		Long Beach=57
A+1:04512280000:D	25	Unshipped		Long Beach=25
A+1:04733480000:D	128	Unshipped		Long Beach=128
A+1:04510990000:D	4	Unshipped		Long Beach=4
A+1:04733490000:D	61	Unshipped		Long Beach=61
A+1:04733350000:D	0	Unshipped		Long Beach=0
A+1:04512400000:D	71	Unshipped		Long Beach=71
A+1:04510920000:D	150	Unshipped		Long Beach=150
A+1:04574410000:D	0	Unshipped		Long Beach=0
A+1:04573210000:D	80	Unshipped		Long Beach=80
A+1:04512770000:D	491	Unshipped		Long Beach=491
A+1:15482600000:D	62	Unshipped		Long Beach=62
A+1:04320230000:D	0	Unshipped		Long Beach=0
A+1:04320090000:D	0	Unshipped		Long Beach=0
A+1:03546480000:D	0	Unshipped		Long Beach=0
A+1:15481000000:D	536	Unshipped		Long Beach=536
A+1:15473450000:D	187	Unshipped		Long Beach=187
A+1:15473440000:D	79	Unshipped		Long Beach=79
A+1:04569060000:D	184	Unshipped		Long Beach=184
A+1:04320020000:D	56	Unshipped		Long Beach=56
A+1:15449900000:D	0	Unshipped		Long Beach=0
A+1:15449890000:D	0	Unshipped		Long Beach=0
