Inventory Number	Quantity	Quantity Update Type	DC Quantity
A+1:5517080:D	1	Unshipped	Long Beach=1
A+1:5517086:D	0	Unshipped	Long Beach=0
A+1:5517040:D	0	Unshipped	Long Beach=0
A+1:5517056:D	0	Unshipped	Long Beach=0
A+1:5517038:D	16	Unshipped	Long Beach=16
A+1:5517030:D	0	Unshipped	Long Beach=0
A+1:5517068:D	0	Unshipped	Long Beach=0
A+1:5517042:D	0	Unshipped	Long Beach=0
A+1:5517074:D	14	Unshipped	Long Beach=14
A+1:5517046:D	0	Unshipped	Long Beach=0
A+1:5517078:D	0	Unshipped	Long Beach=0
A+1:5517070:D	0	Unshipped	Long Beach=0
A+1:5517012:D	20	Unshipped	Long Beach=20
A+1:5517094:D	2	Unshipped	Long Beach=2
A+1:5517054:D	0	Unshipped	Long Beach=0
A+1:5517052:D	16	Unshipped	Long Beach=16
A+1:5517025:D	0	Unshipped	Long Beach=0
A+1:5517000:D	20	Unshipped	Long Beach=20
A+1:5517006:D	0	Unshipped	Long Beach=0
A+1:5517044:D	1	Unshipped	Long Beach=1
A+1:5517084:D	0	Unshipped	Long Beach=0
A+1:5517016:D	0	Unshipped	Long Beach=0
A+1:5517028:D	0	Unshipped	Long Beach=0
A+1:5517090:D	0	Unshipped	Long Beach=0
A+1:5517026:D	0	Unshipped	Long Beach=0
A+1:5517045:D	0	Unshipped	Long Beach=0
A+1:5517082:D	2	Unshipped	Long Beach=2
A+1:5517066:D	0	Unshipped	Long Beach=0
A+1:5517048:D	0	Unshipped	Long Beach=0
A+1:5517092:D	0	Unshipped	Long Beach=0
A+1:5517034:D	0	Unshipped	Long Beach=0
A+1:5517076:D	8	Unshipped	Long Beach=8
A+1:5517049:D	0	Unshipped	Long Beach=0
A+1:5517032:D	0	Unshipped	Long Beach=0
A+1:5517027:D	3	Unshipped	Long Beach=3
A+1:5517039:D	0	Unshipped	Long Beach=0
A+1:5517050:D	0	Unshipped	Long Beach=0
A+1:5517020:D	0	Unshipped	Long Beach=0
A+1:5517024:D	0	Unshipped	Long Beach=0
A+1:5517036:D	0	Unshipped	Long Beach=0
A+1:5517053:D	0	Unshipped	Long Beach=0
A+1:5517023:D	1	Unshipped	Long Beach=1
A+1:5517062:D	0	Unshipped	Long Beach=0
A+1:5517064:D	0	Unshipped	Long Beach=0
A+1:5517088:D	0	Unshipped	Long Beach=0
A+1:5517037:D	0	Unshipped	Long Beach=0
A+1:5517010:D	0	Unshipped	Long Beach=0
A+1:5517002:D	0	Unshipped	Long Beach=0
