Inventory Number	Quantity	Quantity Update Type	DC Quantity
A+1:5517022:D	0	Unshipped	Long Beach=0
A+1:5517018:D	0	Unshipped	Long Beach=0
A+1:5517051:D	0	Unshipped	Long Beach=0
A+1:5517004:D	0	Unshipped	Long Beach=0
A+1:5517060:D	0	Unshipped	Long Beach=0
A+1:5517072:D	160	Unshipped	Long Beach=160
A+1:5517008:D	0	Unshipped	Long Beach=0
A+1:5517043:D	0	Unshipped	Long Beach=0
A+1:5517014:D	0	Unshipped	Long Beach=0
A+1:5517058:D	0	Unshipped	Long Beach=0
A+1:SRW85:D	4	Unshipped	Long Beach=4
A+1:SRW89:D	35	Unshipped	Long Beach=35
A+1:SRV30:D	147	Unshipped	Long Beach=147
A+1:SRH48:D	217	Unshipped	Long Beach=217
A+1:SRW93:D	8	Unshipped	Long Beach=8
A+1:SRV67:D	4	Unshipped	Long Beach=4
A+1:SRH15:D	2	Unshipped	Long Beach=2
A+1:SRW53:D	107	Unshipped	Long Beach=107
A+1:SRW91:D	4	Unshipped	Long Beach=4
A+1:SRW79:D	69	Unshipped	Long Beach=69
A+1:SRW99:D	6	Unshipped	Long Beach=6
A+1:SRW95:D	0	Unshipped	Long Beach=0
A+1:SRH43:D	45	Unshipped	Long Beach=45
A+1:SRW82:D	30	Unshipped	Long Beach=30
A+1:SRH76:D	25	Unshipped	Long Beach=25
A+1:SRW86:D	10	Unshipped	Long Beach=10
A+1:SRW66:D	77	Unshipped	Long Beach=77
A+1:SRH87:D	7	Unshipped	Long Beach=7
A+1:SRW75:D	0	Unshipped	Long Beach=0
A+1:SRV80:D	0	Unshipped	Long Beach=0
A+1:SRW13:D	51	Unshipped	Long Beach=51
A+1:SRH41:D	82	Unshipped	Long Beach=82
A+1:SRV34:D	46	Unshipped	Long Beach=46
A+1:SRW83:D	79	Unshipped	Long Beach=79
A+1:SRH10:D	3	Unshipped	Long Beach=3
A+1:SRV70:D	14	Unshipped	Long Beach=14
A+1:SRW84:D	40	Unshipped	Long Beach=40
A+1:SRW35:D	6	Unshipped	Long Beach=6
A+1:SRW96:D	0	Unshipped	Long Beach=0
A+1:SRW58:D	83	Unshipped	Long Beach=83
A+1:SRH68:D	3	Unshipped	Long Beach=3
A+1:SRV52:D	63	Unshipped	Long Beach=63
A+1:SRW90:D	11	Unshipped	Long Beach=11
A+1:SRW19:D	10	Unshipped	Long Beach=10
A+1:SRW51:D	7	Unshipped	Long Beach=7
A+1:SRW64:D	4	Unshipped	Long Beach=4
A+1:SRH55:D	8	Unshipped	Long Beach=8
A+1:SRV57:D	19	Unshipped	Long Beach=19
A+1:SRV98:D	2	Unshipped	Long Beach=2
A+1:SRW69:D	42	Unshipped	Long Beach=42
A+1:SRV48:D	8	Unshipped	Long Beach=8
A+1:SRV49:D	6	Unshipped	Long Beach=6
A+1:SRH28:D	127	Unshipped	Long Beach=127
A+1:SRH74:D	0	Unshipped	Long Beach=0
A+1:SRW42:D	89	Unshipped	Long Beach=89
A+1:SRV81:D	8	Unshipped	Long Beach=8
A+1:SRH65:D	20	Unshipped	Long Beach=20
A+1:SRW14:D	165	Unshipped	Long Beach=165
A+1:SRW20:D	16	Unshipped	Long Beach=16
A+1:SRW88:D	4	Unshipped	Long Beach=4
A+1:SRV18:D	70	Unshipped	Long Beach=70
A+1:SRH22:D	16	Unshipped	Long Beach=16
A+1:SRH73:D	8	Unshipped	Long Beach=8
A+1:SRV77:D	76	Unshipped	Long Beach=76
A+1:SRW71:D	72	Unshipped	Long Beach=72
A+1:SRW26:D	16	Unshipped	Long Beach=16
A+1:SRW25:D	11	Unshipped	Long Beach=11
A+1:SRW97:D	10	Unshipped	Long Beach=10
A+1:SRW17:D	34	Unshipped	Long Beach=34
A+1:SRH27:D	48	Unshipped	Long Beach=48
A+1:SRW50:D	32	Unshipped	Long Beach=32
A+1:SRW56:D	24	Unshipped	Long Beach=24
A+1:SRV54:D	2	Unshipped	Long Beach=2
A+1:SRH05:D	10	Unshipped	Long Beach=10
A+1:SRV92:D	12	Unshipped	Long Beach=12
A+1:SRW72:D	230	Unshipped	Long Beach=230
A+1:SRW78:D	75	Unshipped	Long Beach=75
A+1:SRW94:D	4	Unshipped	Long Beach=4
A+1:ECT16:D	6	Unshipped	Long Beach=6
A+1:ECT05:D	8	Unshipped	Long Beach=8
A+1:ECT12:D	12	Unshipped	Long Beach=12
A+1:ECV36:D	8	Unshipped	Long Beach=8
A+1:ECH49:D	8	Unshipped	Long Beach=8
A+1:ECH09:D	1	Unshipped	Long Beach=1
A+1:ECT68:D	8	Unshipped	Long Beach=8
A+1:ECT76:D	8	Unshipped	Long Beach=8
A+1:ECH72:D	5	Unshipped	Long Beach=5
A+1:ECT59:D	4	Unshipped	Long Beach=4
A+1:ECT67:D	8	Unshipped	Long Beach=8
A+1:ECT91:D	8	Unshipped	Long Beach=8
A+1:ECT77:D	8	Unshipped	Long Beach=8
A+1:ECT53:D	20	Unshipped	Long Beach=20
A+1:ECH77:D	12	Unshipped	Long Beach=12
A+1:ELV61:D	4	Unshipped	Long Beach=4
A+1:ELW94:D	4	Unshipped	Long Beach=4
A+1:ELW50:D	6	Unshipped	Long Beach=6
A+1:ELT42:D	16	Unshipped	Long Beach=16
A+1:ELW81:D	4	Unshipped	Long Beach=4
A+1:ELW25:D	8	Unshipped	Long Beach=8
A+1:ELT96:D	6	Unshipped	Long Beach=6
A+1:ELT55:D	4	Unshipped	Long Beach=4
A+1:ELT41:D	12	Unshipped	Long Beach=12
A+1:ELV88:D	20	Unshipped	Long Beach=20
A+1:ELW04:D	4	Unshipped	Long Beach=4
A+1:ELV71:D	20	Unshipped	Long Beach=20
A+1:ELV66:D	20	Unshipped	Long Beach=20
A+1:ELW21:D	20	Unshipped	Long Beach=20
A+1:ELH41:D	4	Unshipped	Long Beach=4
A+1:ELT52:D	20	Unshipped	Long Beach=20
A+1:ELT07:D	2	Unshipped	Long Beach=2
A+1:ELW55:D	4	Unshipped	Long Beach=4
A+1:ELH44:D	56	Unshipped	Long Beach=56
A+1:ELT44:D	64	Unshipped	Long Beach=64
A+1:ELV03:D	16	Unshipped	Long Beach=16
A+1:ELV58:D	8	Unshipped	Long Beach=8
A+1:ELV42:D	4	Unshipped	Long Beach=4
A+1:ELT95:D	4	Unshipped	Long Beach=4
A+1:ELW78:D	4	Unshipped	Long Beach=4
A+1:ELV56:D	3	Unshipped	Long Beach=3
A+1:ELV13:D	8	Unshipped	Long Beach=8
A+1:ELT99:D	8	Unshipped	Long Beach=8
A+1:ELT27:D	12	Unshipped	Long Beach=12
A+1:ELW84:D	4	Unshipped	Long Beach=4
A+1:ELT97:D	4	Unshipped	Long Beach=4
A+1:ELT28:D	16	Unshipped	Long Beach=16
A+1:ELT73:D	8	Unshipped	Long Beach=8
A+1:ELH48:D	8	Unshipped	Long Beach=8
A+1:ELW17:D	4	Unshipped	Long Beach=4
A+1:ELW02:D	3	Unshipped	Long Beach=3
A+1:ELH42:D	20	Unshipped	Long Beach=20
A+1:ELT88:D	6	Unshipped	Long Beach=6
A+1:ELW19:D	2	Unshipped	Long Beach=2
A+1:ELW15:D	4	Unshipped	Long Beach=4
A+1:ELH61:D	8	Unshipped	Long Beach=8
A+1:ELH28:D	16	Unshipped	Long Beach=16
A+1:ELV52:D	8	Unshipped	Long Beach=8
A+1:ELT48:D	20	Unshipped	Long Beach=20
A+1:ELH76:D	12	Unshipped	Long Beach=12
A+1:ELH57:D	4	Unshipped	Long Beach=4
A+1:ELV48:D	20	Unshipped	Long Beach=20
A+1:ELW54:D	4	Unshipped	Long Beach=4
A+1:ELH89:D	4	Unshipped	Long Beach=4
A+1:ELW14:D	8	Unshipped	Long Beach=8
A+1:ELT61:D	12	Unshipped	Long Beach=12
A+1:ELV69:D	4	Unshipped	Long Beach=4
A+1:ELW90:D	8	Unshipped	Long Beach=8
A+1:5521370:D	0	Unshipped	Long Beach=0
A+1:5521448:D	8	Unshipped	Long Beach=8
A+1:5521458:D	4	Unshipped	Long Beach=4
A+1:5521435:D	4	Unshipped	Long Beach=4
A+1:5521468:D	10	Unshipped	Long Beach=10
A+1:5521416:D	8	Unshipped	Long Beach=8
A+1:5521450:D	0	Unshipped	Long Beach=0
A+1:5521426:D	6	Unshipped	Long Beach=6
A+1:5521462:D	0	Unshipped	Long Beach=0
A+1:5521437:D	0	Unshipped	Long Beach=0
A+1:5521492:D	0	Unshipped	Long Beach=0
A+1:5521421:D	14	Unshipped	Long Beach=14
A+1:5521480:D	6	Unshipped	Long Beach=6
A+1:5521454:D	14	Unshipped	Long Beach=14
A+1:5521412:D	4	Unshipped	Long Beach=4
A+1:5521482:D	0	Unshipped	Long Beach=0
A+1:5515928U:D	24	Unshipped	Long Beach=24
A+1:5515928:D	91	Unshipped	Long Beach=91
A+1:5515910:D	12	Unshipped	Long Beach=12
A+1:5515940:D	41	Unshipped	Long Beach=41
A+1:5515742:D	0	Unshipped	Long Beach=0
A+1:5517678:D	16	Unshipped	Long Beach=16
A+1:5517662:D	0	Unshipped	Long Beach=0
A+1:5517682:D	14	Unshipped	Long Beach=14
A+1:5517793:D	0	Unshipped	Long Beach=0
A+1:5518066:D	0	Unshipped	Long Beach=0
A+1:5518042:D	0	Unshipped	Long Beach=0
A+1:5518086:D	0	Unshipped	Long Beach=0
A+1:5518014:D	0	Unshipped	Long Beach=0
A+1:5518062:D	0	Unshipped	Long Beach=0
A+1:5518082:D	1	Unshipped	Long Beach=1
A+1:5518018:D	0	Unshipped	Long Beach=0
A+1:5517956:D	6	Unshipped	Long Beach=6
A+1:5517958:D	16	Unshipped	Long Beach=16
A+1:5517971:D	12	Unshipped	Long Beach=12
A+1:5517936:D	32	Unshipped	Long Beach=32
A+1:5517950:D	14	Unshipped	Long Beach=14
A+1:5517937:D	12	Unshipped	Long Beach=12
A+1:5517945:D	8	Unshipped	Long Beach=8
A+1:5517921:D	8	Unshipped	Long Beach=8
A+1:5517918:D	16	Unshipped	Long Beach=16
A+1:5517992:D	0	Unshipped	Long Beach=0
A+1:5517910:D	18	Unshipped	Long Beach=18
A+1:5517962:D	8	Unshipped	Long Beach=8
A+1:5517941:D	16	Unshipped	Long Beach=16
A+1:5517946:D	2	Unshipped	Long Beach=2
A+1:5517932:D	24	Unshipped	Long Beach=24
A+1:5517938:D	10	Unshipped	Long Beach=10
A+1:5517903:D	2	Unshipped	Long Beach=2
A+1:5517913:D	46	Unshipped	Long Beach=46
A+1:5517934:D	6	Unshipped	Long Beach=6
A+1:5517965:D	5	Unshipped	Long Beach=5
A+1:5517928:D	6	Unshipped	Long Beach=6
A+1:5517906:D	87	Unshipped	Long Beach=87
A+1:5517963:D	20	Unshipped	Long Beach=20
A+1:5517976:D	6	Unshipped	Long Beach=6
A+1:5517907:D	36	Unshipped	Long Beach=36
A+1:5517975:D	4	Unshipped	Long Beach=4
A+1:5517935:D	23	Unshipped	Long Beach=23
A+1:5517927:D	46	Unshipped	Long Beach=46
A+1:5517914:D	33	Unshipped	Long Beach=33
A+1:5517961:D	0	Unshipped	Long Beach=0
A+1:5517930:D	2	Unshipped	Long Beach=2
A+1:5517952:D	13	Unshipped	Long Beach=13
A+1:5517960:D	0	Unshipped	Long Beach=0
A+1:5517949:D	8	Unshipped	Long Beach=8
A+1:5517923:D	6	Unshipped	Long Beach=6
A+1:5517981:D	4	Unshipped	Long Beach=4
A+1:5517908:D	18	Unshipped	Long Beach=18
A+1:5517912:D	6	Unshipped	Long Beach=6
A+1:5517957:D	8	Unshipped	Long Beach=8
A+1:5517951:D	8	Unshipped	Long Beach=8
A+1:5517943:D	6	Unshipped	Long Beach=6
A+1:5517905:D	142	Unshipped	Long Beach=142
A+1:5517982:D	16	Unshipped	Long Beach=16
A+1:5517964:D	10	Unshipped	Long Beach=10
A+1:5517939:D	0	Unshipped	Long Beach=0
A+1:5517920:D	11	Unshipped	Long Beach=11
A+1:5517942:D	10	Unshipped	Long Beach=10
A+1:5517955:D	0	Unshipped	Long Beach=0
A+1:5517972:D	0	Unshipped	Long Beach=0
A+1:5517970:D	14	Unshipped	Long Beach=14
A+1:5517973:D	0	Unshipped	Long Beach=0
A+1:5517933:D	0	Unshipped	Long Beach=0
A+1:5517987:D	0	Unshipped	Long Beach=0
A+1:5517915:D	33	Unshipped	Long Beach=33
A+1:5517974:D	0	Unshipped	Long Beach=0
A+1:5520154:D	0	Unshipped	Long Beach=0
A+1:5520150:D	0	Unshipped	Long Beach=0
A+1:5531032:D	0	Unshipped	Long Beach=0
A+1:5531035:D	0	Unshipped	Long Beach=0
A+1:5531023:D	2	Unshipped	Long Beach=2
A+1:5531116:D	0	Unshipped	Long Beach=0
A+1:5531152:D	0	Unshipped	Long Beach=0
A+1:5531159:D	0	Unshipped	Long Beach=0
A+1:5531155:D	0	Unshipped	Long Beach=0
A+1:5531120:D	0	Unshipped	Long Beach=0
A+1:5531993:D	6	Unshipped	Long Beach=6
A+1:5531996:D	6	Unshipped	Long Beach=6
A+1:5531990:D	8	Unshipped	Long Beach=8
A+1:5532059:D	10	Unshipped	Long Beach=10
A+1:5532052:D	8	Unshipped	Long Beach=8
A+1:5532063:D	22	Unshipped	Long Beach=22
A+1:5532275:D	23	Unshipped	Long Beach=23
A+1:5532259:D	8	Unshipped	Long Beach=8
A+1:5532258:D	10	Unshipped	Long Beach=10
A+1:5532278:D	4	Unshipped	Long Beach=4
A+1:5532252:D	8	Unshipped	Long Beach=8
A+1:5532251:D	12	Unshipped	Long Beach=12
A+1:5532178:D	0	Unshipped	Long Beach=0
A+1:5532158:D	0	Unshipped	Long Beach=0
A+1:5532151:D	0	Unshipped	Long Beach=0
A+1:5532175:D	0	Unshipped	Long Beach=0
A+1:5532658:D	5	Unshipped	Long Beach=5
A+1:5532675:D	12	Unshipped	Long Beach=12
A+1:5532651:D	8	Unshipped	Long Beach=8
A+1:5532678:D	4	Unshipped	Long Beach=4
A+1:5530426:D	0	Unshipped	Long Beach=0
A+1:5530442:D	10	Unshipped	Long Beach=10
A+1:5530429:D	3	Unshipped	Long Beach=3
A+1:5530438:D	10	Unshipped	Long Beach=10
A+1:5530045:D	6	Unshipped	Long Beach=6
A+1:5530081:D	16	Unshipped	Long Beach=16
A+1:5530085:D	16	Unshipped	Long Beach=16
A+1:5530082:D	92	Unshipped	Long Beach=92
A+1:5530069:D	8	Unshipped	Long Beach=8
A+1:5530062:D	8	Unshipped	Long Beach=8
A+1:5530084:D	6	Unshipped	Long Beach=6
A+1:5531490:D	8	Unshipped	Long Beach=8
A+1:5531496:D	4	Unshipped	Long Beach=4
A+1:5531493:D	2	Unshipped	Long Beach=2
A+1:5530548:D	16	Unshipped	Long Beach=16
A+1:5530507:D	6	Unshipped	Long Beach=6
A+1:5530513:D	6	Unshipped	Long Beach=6
A+1:5530559:D	4	Unshipped	Long Beach=4
A+1:5530551:D	8	Unshipped	Long Beach=8
A+1:5530558:D	4	Unshipped	Long Beach=4
A+1:5530590:D	16	Unshipped	Long Beach=16
A+1:5530552:D	8	Unshipped	Long Beach=8
A+1:5530540:D	48	Unshipped	Long Beach=48
A+1:5530517:D	6	Unshipped	Long Beach=6
A+1:5530587:D	12	Unshipped	Long Beach=12
A+1:5530566:D	12	Unshipped	Long Beach=12
A+1:5530510:D	4	Unshipped	Long Beach=4
A+1:5530523:D	12	Unshipped	Long Beach=12
A+1:5530555:D	8	Unshipped	Long Beach=8
A+1:5530546:D	13	Unshipped	Long Beach=13
A+1:5530570:D	8	Unshipped	Long Beach=8
A+1:5530504:D	6	Unshipped	Long Beach=6
A+1:5530520:D	4	Unshipped	Long Beach=4
A+1:5530216:D	0	Unshipped	Long Beach=0
A+1:5531590:D	4	Unshipped	Long Beach=4
A+1:5532559:D	22	Unshipped	Long Beach=22
A+1:5532578:D	41	Unshipped	Long Beach=41
A+1:5532575:D	0	Unshipped	Long Beach=0
A+1:5532552:D	8	Unshipped	Long Beach=8
A+1:5532378:D	0	Unshipped	Long Beach=0
A+1:5532576:D	32	Unshipped	Long Beach=32
A+1:5530717:D	0	Unshipped	Long Beach=0
A+1:5530755:D	12	Unshipped	Long Beach=12
A+1:5530752:D	2	Unshipped	Long Beach=2
A+1:5530759:D	0	Unshipped	Long Beach=0
A+1:5531859:D	0	Unshipped	Long Beach=0
A+1:5531255:D	6	Unshipped	Long Beach=6
A+1:5531259:D	4	Unshipped	Long Beach=4
A+1:5531217:D	4	Unshipped	Long Beach=4
A+1:5531263:D	8	Unshipped	Long Beach=8
A+1:5531252:D	8	Unshipped	Long Beach=8
A+1:5531258:D	8	Unshipped	Long Beach=8
A+1:5531287:D	16	Unshipped	Long Beach=16
A+1:5531251:D	8	Unshipped	Long Beach=8
A+1:5531278:D	4	Unshipped	Long Beach=4
A+1:5531275:D	16	Unshipped	Long Beach=16
A+1:5531785:D	6	Unshipped	Long Beach=6
A+1:5531782:D	7	Unshipped	Long Beach=7
A+1:5531781:D	32	Unshipped	Long Beach=32
A+1:5532752:D	12	Unshipped	Long Beach=12
A+1:5532459:D	12	Unshipped	Long Beach=12
A+1:5532475:D	12	Unshipped	Long Beach=12
A+1:5532778:D	4	Unshipped	Long Beach=4
A+1:5532759:D	4	Unshipped	Long Beach=4
A+1:5532478:D	4	Unshipped	Long Beach=4
A+1:5532452:D	12	Unshipped	Long Beach=12
A+1:5532775:D	29	Unshipped	Long Beach=29
A+1:STH43:D	0	Unshipped	Long Beach=0
A+1:STH76:D	0	Unshipped	Long Beach=0
A+1:STH01:D	0	Unshipped	Long Beach=0
A+1:STV03U:D	73	Unshipped	Long Beach=73
A+1:STH61U:D	14	Unshipped	Long Beach=14
A+1:STV42:D	8	Unshipped	Long Beach=8
A+1:STH57U:D	11	Unshipped	Long Beach=11
A+1:STV61:D	0	Unshipped	Long Beach=0
A+1:STH41:D	0	Unshipped	Long Beach=0
A+1:STH61:D	0	Unshipped	Long Beach=0
A+1:STH76U:D	157	Unshipped	Long Beach=157
A+1:STV03:D	0	Unshipped	Long Beach=0
A+1:STH57:D	1	Unshipped	Long Beach=1
A+1:STH77:D	0	Unshipped	Long Beach=0
A+1:STH77U:D	304	Unshipped	Long Beach=304
A+1:STH01U:D	15	Unshipped	Long Beach=15
A+1:STH43U:D	21	Unshipped	Long Beach=21
A+1:STV58:D	0	Unshipped	Long Beach=0
A+1:STT62:D	0	Unshipped	Long Beach=0
A+1:STT30:D	0	Unshipped	Long Beach=0
A+1:STT61:D	0	Unshipped	Long Beach=0
A+1:STT24:D	0	Unshipped	Long Beach=0
A+1:STT28:D	0	Unshipped	Long Beach=0
A+1:STT96:D	0	Unshipped	Long Beach=0
A+1:STT55U:D	70	Unshipped	Long Beach=70
A+1:STT32U:D	20	Unshipped	Long Beach=20
A+1:STT42U:D	34	Unshipped	Long Beach=34
A+1:STT43U:D	12	Unshipped	Long Beach=12
A+1:STT52:D	0	Unshipped	Long Beach=0
A+1:STT65U:D	1	Unshipped	Long Beach=1
A+1:STT88U:D	22	Unshipped	Long Beach=22
A+1:STT95:D	1	Unshipped	Long Beach=1
A+1:STT28U:D	68	Unshipped	Long Beach=68
A+1:STT24U:D	16	Unshipped	Long Beach=16
A+1:STT55:D	69	Unshipped	Long Beach=69
A+1:STT73:D	0	Unshipped	Long Beach=0
A+1:STT97U:D	158	Unshipped	Long Beach=158
A+1:STT27:D	0	Unshipped	Long Beach=0
A+1:STT32:D	0	Unshipped	Long Beach=0
A+1:STT95U:D	7	Unshipped	Long Beach=7
A+1:STT38U:D	20	Unshipped	Long Beach=20
A+1:STT44U:D	34	Unshipped	Long Beach=34
A+1:STT62U:D	22	Unshipped	Long Beach=22
A+1:STT38:D	0	Unshipped	Long Beach=0
A+1:STT27U:D	115	Unshipped	Long Beach=115
A+1:STT65:D	0	Unshipped	Long Beach=0
A+1:STT30U:D	10	Unshipped	Long Beach=10
A+1:STT88:D	1	Unshipped	Long Beach=1
A+1:STT96U:D	66	Unshipped	Long Beach=66
A+1:STT48U:D	48	Unshipped	Long Beach=48
A+1:STT73U:D	16	Unshipped	Long Beach=16
A+1:STT97:D	0	Unshipped	Long Beach=0
A+1:STT41U:D	27	Unshipped	Long Beach=27
A+1:STT41:D	0	Unshipped	Long Beach=0
A+1:STT42:D	1	Unshipped	Long Beach=1
A+1:STT52U:D	36	Unshipped	Long Beach=36
A+1:STT48:D	0	Unshipped	Long Beach=0
A+1:STT43:D	0	Unshipped	Long Beach=0
A+1:STT44:D	0	Unshipped	Long Beach=0
A+1:STL49U:D	78	Unshipped	Long Beach=78
A+1:STL68U:D	41	Unshipped	Long Beach=41
A+1:STL91U:D	0	Unshipped	Long Beach=0
A+1:STL59U:D	12	Unshipped	Long Beach=12
A+1:STL67U:D	14	Unshipped	Long Beach=14
A+1:STL08U:D	0	Unshipped	Long Beach=0
A+1:STL36U:D	8	Unshipped	Long Beach=8
